A0A202FU19,Q59SL0,Q6FTZ0
A0A202G610,Q5A318,Q6FUA2
A0A202G675,A0A1D8PH55,Q6FW03
A0A202GB71,Q5AHE2,Q6FW03
A0A202G6A4,Q5AG68,Q6FIM3
A0A202G698,A0A1D8PNJ2,Q6FMD9
A0A202G983,A0A1D8PRK5,Q6FMD9
A0A068L6W4,A0A1D8PNK3,Q6FR41
A0A202G6D0,A0A1D8PRA6,Q6FUU3
A0A202G8B8,Q5ADL6,Q6FUU3
A0A202G6F6,Q59SS4,Q6FPZ9
A0A202G6F9,Q59SS1,Q6FX32
A0A202G6I1,Q5ADV1,Q6FW58
A0A202G6K3,A0A1D8PGR9,Q6FQM0
A0A202GE69,Q5ADT6,Q6FQM0
A0A202G6K2,A0A1D8PIF6,Q6FVV5
A0A202G6J5,A0A1D8PJV4,Q6FLN4
A0A202G6N0,A0A1D8PL37,Q6FX16
A0A202G6M4,Q59US5,Q6FVR1
A0A202G6T0,A0A1D8PKZ9,Q6FSH4
A0A202G6X4,A0A1D8PGI8,Q6FRA6
A0A202G756,P82610,Q6FQM7
A0A202G704,Q5A8A6,Q6FWK7
A0A202G735,Q5A8A2,Q6FNB1
A0A202G790,A0A1D8PH42,Q6FTS6
A0A202G782,A0A1D8PSY1,Q6FMT6
A0A202G789,Q5APD2,Q6FLE7
A0A202G8C1,Q5APD2,Q6FLE7
A0A202G7B9,Q5A362,Q6FRS2
A0A202G7E8,A0A1D8PHA3,Q6FKM5
A0A202G7G1,P83775,Q6FV26
A0A202G7N2,Q59WJ5,Q6FME1
A0A202G7J9,Q5AHF9,Q6FW86
A0A202G7K0,Q5AHE9,Q6FJ26
A0A202G7M0,A0A1D8PJF9,Q6FN19
A0A202G832,Q5A2K4,Q6FWD0
A0A202G881,Q5AMQ5,Q6FNG6
A0A202G861,Q5AJY2,Q6FXQ1
A0A202G839,Q59VG1,Q6FNT3
A0A202G890,A0A1D8PDC4,Q6FJ33
A0A202G870,A0A1D8PKE7,Q6FM23
A0A202G8G7,A0A1D8PEE2,Q6FQ93
A0A202G8F3,Q5A759,Q6FMJ5
M9P8W3,A0A1D8PJ13,Q6FLN0
A0A202G8H0,Q59UQ1,Q6FIM4
A0A202G8M1,Q59WF0,Q6FTN0
A0A202GDA6,Q59WF0,Q6FTN0
A0A202G8I6,A0A1D8PNC7,Q6FPF6
A0A202G8N2,Q5ABE5,Q6FVR6
A0A202G8J1,A0A1D8PMH6,Q6FXZ3
A0A202G8N3,P46587,Q6FTD8
A0A202GFM6,P41797,Q6FTD8
M9P8C9,Q59RB8,Q6FPK7
A0A202G8L5,Q59RB3,Q6FKC3
A0A202G8M2,A0A1D8PD97,Q6FP60
A0A202G8R4,A0A1D8PDX5,Q6FIR3
A0A202G9Z6,A0A1D8PDX5,Q6FIR3
A0A202G8S3,Q5A5A0,Q6FXS9
A0A202GDZ3,Q5A5A0,Q6FXS9
A0A202G8S4,Q59WW1,Q6FMY1
A0A202G8Z0,Q59N40,Q6FW98
A0A202GAL0,A0A1D8PL85,Q6FW98
A0A202G8U4,A0A1D8PTH3,Q6FVK0
A0A202G931,Q5A8Z4,Q6FV67
A0A202G941,A0A1D8PF69,Q6FIM2
A0A202G9A2,A0A1D8PFA3,Q6FNX4
A0A202GD88,Q5A948,Q6FNX4
A0A202G959,A0A1D8PCL4,Q6FQ74
A0A202G9F1,P42800,Q6FQI1
A0A202G9G8,O13289,Q6FM56
A0A202GD23,O13289,Q6FM56
A0A202G9U0,A0A1D8PFY5,Q6FUM6
A0A202G9Y5,Q59PA3,Q6FJK3
A0A202G9X9,Q59T80,Q6FWK2
A0A202GAA7,O94030,Q6FW26
A0A202GA44,A0A1D8PCV7,Q6FMI5
A0A202GA58,Q5ADM7,Q6FSM4
A0A202GEP2,Q5ADM7,Q6FSM4
A0A202GEV5,Q5ADM7,Q6FSM4
A0A202GA89,Q5AD39,Q6FWX1
A0A202GA94,A0A1D8PID4,Q6FR50
A0A202GAC4,A0A1D8PRR5,Q6FWJ8
A0A202GAB8,A0A1D8PRR1,Q6FL30
A0A202GAB1,P83778,Q6FL92
A0A202GAF7,Q5AMP4,Q6FL92
A0A202GAE0,Q5A9D9,Q6FTG9
A0A202GAM7,Q9Y872,Q6FXQ8
A0A202GAR4,A0A1D8PJ26,Q6FSQ3
A0A202GAM8,Q5AEN1,Q6FMG7
A0A202GAQ6,A0A1D8PKJ4,Q6FWR8
A0A202GAZ9,Q5A500,Q6FLM3
A0A202GB09,A0A1D8PQD5,Q6FY72
A0A202GBC2,P83782,Q6FSJ3
A0A202GBA2,Q59MQ8,Q6FQ85
A0A202GBF6,Q59WW7,Q6FWZ5
A0A202GE07,Q59WW8,Q6FWZ5
A0A202GB62,A0A1D8PIN1,Q6FXH5
A0A202GB55,Q59XU9,Q6FN96
A0A202GF27,Q59W33,Q6FN96
A0A202GB81,A0A1D8PKY7,Q6FX86
A0A202GB96,Q59TC4,Q6FP59
A0A202GBA3,A0A1D8PH63,Q6FJG6
A0A202GBI0,A0A1D8PLH1,B4UMZ9
A0A202GBK7,Q5AF54,Q6FRE1
A0A202GBM0,Q5AFA5,Q6FTY7
A0A202GBL7,Q5AMT2,Q6FTS0
A0A202GBK4,Q5AMT3,Q6FIJ5
A0A202GBW3,Q5ABS1,Q6FSJ2
A0A202GBT2,A0A1D8PRL6,Q6FRQ3
A0A202GBY2,Q5ADY1,Q6FJD2
A0A202GCI2,P46586,Q6FLT7
A0A202GCE1,A0A1D8PHH7,Q6FWE7
A0A202GCG5,A0A1D8PHI5,Q6FWE8
A0A202GCK5,A0A1D8PHJ4,Q6FXP8
A0A202GCF8,A0A1D8PHJ4,Q6FXP8
A0A202GCH3,Q59X09,Q6FXP8
A0A202GCQ6,A0A1D8PLL2,Q6FKD9
A0A202GCT7,Q59WG6,Q6FR33
A0A202GD67,Q5A7M9,Q6FQI9
A0A202GCY1,Q5AH92,Q6FJ10
A0A202GD44,A0A1D8PNY6,Q6FJ57
A0A202GD11,Q5AKA5,Q6FWY0
A0A202GD50,A0A1D8PEI6,Q6FPK4
A0A202GDF1,Q59MV9,Q6FL28
A0A202GDC2,Q59QN7,Q6FWS8
A0A202GDC7,A0A1D8PRM7,Q6FRR0
A0A202GDF3,A0A1D8PSH3,Q6FS26
A0A202GDF4,A0A1D8PRY3,Q6FQP1
A0A202GDR8,A0A1D8PPR9,Q6FU98
A0A202GDN1,A0A1D8PRH1,Q6FR25
A0A202GDN9,Q5A3K7,Q6FIP3
A0A202GDV8,A0A1D8PU69,Q6FVN1
A0A202GDY0,Q5AG80,Q6FJ74
A0A202GDZ0,Q5A0W0,Q6FRQ8
A0A202GE49,A0A1D8PSM5,Q6FMD1
A0A202GE64,Q5AP65,Q6FRC1
A0A202GE96,Q5A967,Q6FXM7
A0A202GEK1,A0A1D8PDU9,Q6FLS3
A0A202GEV1,A0A1D8PKV4,Q6FXW6
A0A202GER1,A0A1D8PHL8,Q6FK83
A0A202GEN5,Q5ADN0,Q6FWB4
A0A202GES5,A0A1D8PUA3,Q6FJR7
A0A202GF06,A0A1D8PJW1,Q6FKL6
A0A202GF39,Q59M70,Q6FUX5
A0A202GF37,A0A1D8PDU3,Q6FLA8
A0A202GF63,Q5AH38,Q6FU44
